\xEF\xBB\xBFDate,Day,Day_zh,DayTitle,DayTitle_zh,DayHighlight,DayHighlight_zh,DayTips,DayTips_zh,Time,Activity,Activity_zh,Location,Location_zh,Icon,Link,LinkLabel,MapLink
2025-12-26,Day 1,第一天,Arrival in Fukuoka 🛬,抵達福岡 🛬,First taste of Hakata!,初嚐博多美食!,💡 Get SUGOCA IC card at airport. Subway to Hakata (5 min ¥260).,💡 在機場買 SUGOCA IC卡 搭地鐵到博多站（5分鐘 ¥260）,13:00,Arrive at Fukuoka Airport,抵達福岡機場,Fukuoka Airport International Terminal,福岡機場國際航廈,plane,https://www.fukuoka-airport.jp/en/,Airport Info,https://maps.google.com/?q=Fukuoka+Airport+International+Terminal
2025-12-26,Day 1,第一天,Arrival in Fukuoka 🛬,抵達福岡 🛬,First taste of Hakata!,初嚐博多美食!,💡 Get SUGOCA IC card at airport. Subway to Hakata (5 min ¥260).,💡 在機場買 SUGOCA IC卡 搭地鐵到博多站（5分鐘 ¥260）,14:30,Lunch: Makino Udon,午餐：牧のうどん,Hakata Bus Terminal B1F,博多バスターミナル B1F,food,https://tabelog.com/fukuoka/A4001/A400101/40042204/,Tabelog 3.52★,https://maps.google.com/?q=牧のうどん+博多バスターミナル
2025-12-26,Day 1,第一天,Arrival in Fukuoka 🛬,抵達福岡 🛬,First taste of Hakata!,初嚐博多美食!,💡 Get SUGOCA IC card at airport. Subway to Hakata (5 min ¥260).,💡 在機場買 SUGOCA IC卡 搭地鐵到博多站（5分鐘 ¥260）,16:00,Hotel Check-in & Rest,飯店入住 & 休息,Hotel Near Hakata/Nakasu,博多/中洲附近飯店,hotel,,,
2025-12-26,Day 1,第一天,Arrival in Fukuoka 🛬,抵達福岡 🛬,First taste of Hakata!,初嚐博多美食!,💡 Get SUGOCA IC card at airport. Subway to Hakata (5 min ¥260).,💡 在機場買 SUGOCA IC卡 搭地鐵到博多站（5分鐘 ¥260）,18:30,Dinner: Motsunabe Ichifuji,晚餐：もつ鍋一藤（牛腸鍋）,Imaizumi Main Branch,今泉本店,food,https://tabelog.com/fukuoka/A4001/A400103/40006532/,Tabelog 3.46★,https://maps.google.com/?q=もつ鍋一藤+今泉本店
2025-12-26,Day 1,第一天,Arrival in Fukuoka 🛬,抵達福岡 🛬,First taste of Hakata!,初嚐博多美食!,💡 Get SUGOCA IC card at airport. Subway to Hakata (5 min ¥260).,💡 在機場買 SUGOCA IC卡 搭地鐵到博多站（5分鐘 ¥260）,21:00,Nakasu Yatai Stroll,中洲屋台散步,Nakasu Riverside,中洲河畔,walk,https://yokanavi.com/en/yatai/,Yatai Guide,https://maps.google.com/?q=Nakasu+Yatai+Fukuoka
2025-12-27,Day 2,第二天,Kumamoto Adventure 🏯,熊本探險 🏯,Castle & horse meat!,城堡 & 馬肉料理!,💡 Shinkansen: Hakata→Kumamoto (33 min ¥5130). Taxi to castle.,💡 新幹線：博多→熊本（33分鐘 ¥5130） 搭計程車到城堡,09:00,Shinkansen to Kumamoto,搭新幹線前往熊本,Hakata Station → Kumamoto Station,博多站 → 熊本站,train,https://www.jrkyushu.co.jp/english/,JR Kyushu,https://maps.google.com/?q=Hakata+Station
2025-12-27,Day 2,第二天,Kumamoto Adventure 🏯,熊本探險 🏯,Castle & horse meat!,城堡 & 馬肉料理!,💡 Shinkansen: Hakata→Kumamoto (33 min ¥5130). Taxi to castle.,💡 新幹線：博多→熊本（33分鐘 ¥5130） 搭計程車到城堡,10:00,Drop bags at hotel,寄放行李到飯店,Kumamoto Station Area,熊本站周邊,hotel,,,https://maps.google.com/?q=Kumamoto+Station
2025-12-27,Day 2,第二天,Kumamoto Adventure 🏯,熊本探險 🏯,Castle & horse meat!,城堡 & 馬肉料理!,💡 Shinkansen: Hakata→Kumamoto (33 min ¥5130). Taxi to castle.,💡 新幹線：博多→熊本（33分鐘 ¥5130） 搭計程車到城堡,12:00,Lunch: Katsuretsu Tei (Pork Cutlet),午餐：勝烈亭（炸豬排）,Shinshigai Main Branch,新市街本店,food,https://tabelog.com/kumamoto/A4301/A430101/43000307/,Tabelog 3.72★,https://maps.google.com/?q=勝烈亭+新市街本店+熊本
2025-12-27,Day 2,第二天,Kumamoto Adventure 🏯,熊本探險 🏯,Castle & horse meat!,城堡 & 馬肉料理!,💡 Shinkansen: Hakata→Kumamoto (33 min ¥5130). Taxi to castle.,💡 新幹線：博多→熊本（33分鐘 ¥5130） 搭計程車到城堡,14:00,Kumamoto Castle,熊本城,Kumamoto Castle Area,熊本城區域,castle,https://castle.kumamoto-guide.jp/en/,Castle Info,https://maps.google.com/?q=Kumamoto+Castle
2025-12-27,Day 2,第二天,Kumamoto Adventure 🏯,熊本探險 🏯,Castle & horse meat!,城堡 & 馬肉料理!,💡 Shinkansen: Hakata→Kumamoto (33 min ¥5130). Taxi to castle.,💡 新幹線：博多→熊本（33分鐘 ¥5130） 搭計程車到城堡,18:30,Dinner: Suganoya (Horse Meat),晚餐：菅乃屋（馬刺身）,Ginzadori Branch,銀座通り店,food,https://tabelog.com/kumamoto/A4301/A430101/43016177/,Tabelog 3.49★,https://maps.google.com/?q=菅乃屋+銀座通り店+熊本
